Title,Year,IMDb Rating,Duration,Genres,Cast,Director,Providers
Project Hail Mary(2026),(2026),8.5 (33k),2h 37min,"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller","Ryan Gosling, Sandra Hüller, James Ortiz, Lionel Boyce, Milana Vayntrub, Ken Leung, Priya Kansara, Mia Soteriou, Annelle Olaleye, Bastian Antonio Fuentes, Alice Brittain, Michael Akinsulire, Travis Jay, Geoffrey Lumb, Paul Lambert, Orion Lee, Aaron Neil, Michelle Greenidge, Bernhard Schütz, Amira Ghazalla",Phil Lord,"AMC Theatres, Fandango, Amazon Prime Video, Atom Tickets, Cinemark, Cinepolis Cinemas, Harkins Theatres, Marcus Theatres"
The Devil Wears Prada(2006),(2006),7.0 (527k),1h 49min,"Drama, Comedy","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker, Adrian Grenier, Tracie Thoms, Rich Sommer, Daniel Sunjata, David Marshall Grant, James Naughton, Tibor Feldman, Rebecca Mader, Jimena Hoyos, Gisele Bündchen, George C. Wolfe, John Rothman, Stephanie Szostak, Colleen Dengel, Suzanne Dengel",David Frankel,"HBO Max Amazon Channel, Amazon Video, Disney Plus, Hulu, Hulu, fuboTV, HBO Max, HBO Max Amazon Channel, YouTube TV, FXNow, Amazon Video, Apple TV Store, Fandango At Home, Spectrum On Demand, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray"
The Housemaid(2025),(2025),6.8 (115k),2h 11min,"Drama, Comedy","Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Michele Morrone, Elizabeth Perkins, Amanda Joy Erickson, Sarah Cooper, Megan Ferguson, Ellen Tamaki, Don DiPetta, Alaina Surgener, Alexandra Seal, Brian D. Cohen, Arabella Olivia Clark, Ken Barnett, Matt Walton, Maury Ginsberg, Piper Rae Patterson, Jeffrey Bean, Ellen Adair",Paul Feig,"Starz Amazon Channel, Amazon Video, Starz Apple TV Channel, Starz Roku Premium Channel, Amazon Prime Video, Starz, Philo, Starz Amazon Channel, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, Fandango, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray"
Send Help(2026),(2026),7.2 (35k),1h 53min,"Mystery & Thriller, Comedy, Horror","Rachel McAdams, Dylan O'Brien, Dennis Haysbert, Xavier Samuel, Chris Pang, Thaneth Warakulnukroh, Emma Raimi, Kristy Best, Francesca Waters",Sam Raimi,"Amazon Video, Hulu, Disney Plus, Hulu, Hulu, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Fandango, Amazon DVD / Blu-ray"
Marty Supreme(2025),(2025),7.8 (139k),2h 29min,"Drama, Sport, Mystery & Thriller","Timothée Chalamet, Gwyneth Paltrow, Odessa A'zion, Kevin O'Leary, Tyler, The Creator, Fran Drescher, Abel Ferrara, Emory Cohen, Géza Röhrig, Larry Sloman, Ralph Colucci, George Gervin, Sandra Bernhard, John Catsimatidis, Nick Waplington, Nikhil Kumar, Conn Horgan, Timo Boll, Mahadeo Shivraj, John Keating",Josh Safdie,"HBO Max Amazon Channel, Amazon Video, HBO Max, HBO Max Amazon Channel, Amazon Prime Video, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Fandango, Amazon DVD / Blu-ray"
Crime 101(2026),(2026),7.0 (22k),2h 21min,"Mystery & Thriller, Crime, Drama","Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro, Nick Nolte, Corey Hawkins, Jennifer Jason Leigh, Peter Banifaz, Babak Tafti, Payman Maadi, Hossein Mardani, Tate Donovan, Andra Nechita, Crosby Fitzgerald, Patrick Mulvey, Hanako Footman, Paul Adelstein, Devon Bostick, Benjamin Barrett",Bart Layton,"Amazon Prime Video, Amazon Prime Video, Amazon Prime Video with Ads, Amazon Prime Video, Fandango, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray"
Apex(2026),(2026),N/A,1h 36min,"Action & Adventure, Mystery & Thriller","Charlize Theron, Taron Egerton, Eric Bana, Caitlin Stasey, Bessie Holland, Zachary Garred, Matt Whelan, Rob Carlton, Aaron Pedersen, Duncan Fellows, Julia Ohannessian",Baltasar Kormákur,"Netflix Standard with Ads, Netflix, Amazon Prime Video"
The Running Man(2025),(2025),6.4 (87k),2h 14min,"Action & Adventure, Mystery & Thriller, Science-Fiction","Glen Powell, William H. Macy, Lee Pace, Michael Cera, Emilia Jones, Daniel Ezra, Jayme Lawson, Sean Hayes, Katy O'Brian, Colman Domingo, Josh Brolin, Karl Glusman, David Zayas, Martin Herlihy, Danny McCarthy, Angelo Gray, Alyssa Benn, Sienna Benn, Greg Townley, Joey Ansah",Edgar Wright,"Paramount Plus Essential, Amazon Prime Video, Amazon Prime Video, fuboTV, Amazon Prime Video, MGM+ Amazon Channel, Paramount Plus Premium, Paramount Plus Essential, Paramount+ Amazon Channel, MGM Plus, Philo, Paramount+ Roku Premium Channel, Amazon Prime Video with Ads, JustWatch TV, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, Fandango, Amazon DVD / Blu-ray, Barnes & Noble, Barnes & Noble, Amazon DVD / Blu-ray"
"Good Luck, Have Fun, Don't Die(2025)",(2025),7.1 (23k),2h 14min,"Comedy, Science-Fiction","Sam Rockwell, Juno Temple, Haley Lu Richardson, Michael Peña, Zazie Beetz, Asim Chaudhry, Tom Taylor, Georgia Goodman, Daniel Barnett, Artie Wilkinson-Hunt, Riccardo Drayton, Dominique Maher, David Sturzaker, Adam Burton, Elly Condron, Meghan Oberholzer, Tanya van Graan, Dino Fetscher, Chris Fisher, Danica Jones",Gore Verbinski,"Amazon Video, Apple TV Store, Amazon Video, Apple TV Store, Amazon Prime Video, Fandango At Home, Amazon Video, Apple TV Store, Fandango At Home, Fandango, GRUV, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray"
Bugonia(2025),(2025),7.4 (166k),1h 59min,"Science-Fiction, Mystery & Thriller, Comedy, Crime","Emma Stone, Jesse Plemons, Stavros Halkias, Alicia Silverstone, Cedric Dumornay, Roger Carvalho, Atsushi Nishijima, Aiecia Harper, Harith Mohammed, Parvinder Shergill",Yorgos Lanthimos,"Amazon Video, Apple TV Store, Netflix Standard with Ads, Netflix, Amazon Prime Video, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Amazon Video, Apple TV Store, Fandango At Home, Fandango, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble, Barnes & Noble, Amazon DVD / Blu-ray"
Dust Bunny(2025),(2025),6.5 (12k),1h 46min,"Horror, Mystery & Thriller, Action & Adventure, Drama","Mads Mikkelsen, Sophie Sloan, Sigourney Weaver, David Dastmalchian, Sheila Atim, Caspar Phillipson, Line Kruse, Rebecca Henderson, Nóra Trokán, Narantsogt Tsogtsaikhan, Bence Ferenczi, Ákos Szalai, Ferenc Kovács",Bryan Fuller,"HBO Max Amazon Channel, Amazon Video, HBO Max, HBO Max Amazon Channel, Amazon Prime Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Fandango"
28 Years Later: The Bone Temple(2026),(2026),7.4 (71k),1h 49min,"Mystery & Thriller, Science-Fiction, Horror","Ralph Fiennes, Jack O'Connell, Alfie Williams, Erin Kellyman, Chi Lewis-Parry, Emma Laird, Maura Bird, Sam Locke, Robert Rhodes, Ghazi Al Ruffai, Connor Newall, Mirren Mack, Louis Ashbourne Serkis, Gareth Locke, Celi Crossland, Gordon Alexander, David Sterne, Elliot Benn, Lynne Anne Rodgers, Sebastian Williams-Barrow",Nia DaCosta,"Amazon Video, Apple TV Store, Netflix Standard with Ads, Netflix, Amazon Prime Video, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, Barnes & Noble, Fandango, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray"
The Drama(2026),(2026),N/A,1h 45min,"Comedy, Drama, Romance","Zendaya, Robert Pattinson, Mamoudou Athie, Alana Haim, Jordyn Curet, Hailey Gates, Michael Abbott Jr., Hannah Gross, Sydney Lemmon, Zoë Winters, Anna Baryshnikov, Dee Nelson, Damon Gupton, Ken Cheeseman, Celia Rowlson-Hall, Doria Bramante, Jordan Raf, Jeremy Levick, Sam Zimman, Michele Proude",Kristoffer Borgli,"Amazon Video, Apple TV Store, Amazon Video, Apple TV Store, Amazon Prime Video, Fandango At Home, Plex, Amazon Video, Apple TV Store, Fandango At Home, AMC Theatres, Fandango, Atom Tickets, Cinemark, Cinepolis Cinemas, Harkins Theatres, Marcus Theatres"
One Battle After Another(2025),(2025),7.7 (364k),2h 50min,"Comedy, Mystery & Thriller, Action & Adventure, Crime, Drama","Leonardo DiCaprio, Sean Penn, Chase Infiniti, Benicio del Toro, Regina Hall, Teyana Taylor, Wood Harris, Tony Goldwyn, D.W. Moffett, Paul Grimstad, Dijon, Kevin Tighe, John Hoogenakker, Eric Schweig, April Grace, Jim Downey, Alana Haim, Shayna McHayle, Brooklyn Demme, Sachi Diserafino",Paul Thomas Anderson,"HBO Max Amazon Channel, Amazon Video, HBO Max, HBO Max Amazon Channel, Amazon Prime Video, Plex, Amazon Video, Apple TV Store, Fandango At Home, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Amazon Prime Video, Barnes & Noble, Fandango, Amazon DVD / Blu-ray, GRUV, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble, Barnes & Noble, Zavvi, Amazon DVD / Blu-ray"
Mike & Nick & Nick & Alice(2026),(2026),7.1 (52),1h 47min,"Science-Fiction, Crime, Comedy, Action & Adventure","James Marsden, Vince Vaughn, Eiza González, Keith David, Jimmy Tatro, Stephen Root, Lewis Tan, Dolph Lundgren, Ben Schwartz, Arturo Castro, Emily Hampshire, Paul Cheng, Maxime Savaria, Sara Alicia Garcia, Mackenzee Cullen, Kaitlyn Bacon, Stanlee Arches, Tristan Carlucci, David Tomlinson, Dylan Playfair",BenDavid Grabinski,"Hulu, Disney Plus, Disney Plus, Hulu, Hulu, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch"
Thrash(2026),(2026),N/A,1h 24min,"Horror, Mystery & Thriller","Phoebe Dynevor, Whitney Peak, Djimon Hounsou, Alyla Browne, Stacy Clausen, Matt Nable, Andrew Lees, Sami Afuni, Tyler Coppin, Adam Dunn, Chai Hansen, Annabel Mullion, Bert LaBonté, Sian Luxford, Amy Mathews, Josh McConville, Akosia Sabet, Elijah Ungvary, Gemma Dart, Jon Prasida",Tommy Wirkola,"Netflix Standard with Ads, Netflix, Amazon Prime Video"
Outcome(2026),(2026),N/A,1h 24min,"Comedy, Drama, Mystery & Thriller, Crime","Keanu Reeves, Jonah Hill, Cameron Diaz, Matt Bomer, Susan Lucci, Laverne Cox, David Spade, Martin Scorsese, Atsuko Okatsuka, Roy Wood Jr., Kaia Gerber, Ivy Wolk, Welker White, Drew Barrymore, Cary Christopher, Lovensky Jean-Baptiste, Van Jones, Neiko Neal, Cuete Yeska, Asante Jones",Jonah Hill,"Apple TV, Apple TV, Apple TV Amazon Channel, Apple TV, Apple TV"
The Devil Wears Prada 2(2026),(2026),N/A,1h 59min,"Comedy, Drama","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Justin Theroux, Kenneth Branagh, Simone Ashley, Lucy Liu, Tibor Feldman, B. J. Novak, Patrick Brammall, Tracie Thoms, Caleb Hearon, Helen J. Shen, Rachel Bloom, Larry Mitchell, George C. Wolfe, Daniel Liu, Pauline Chalamet, Bria Condon",David Frankel,"AMC Theatres, Fandango, Amazon Prime Video, Atom Tickets, Cinemark, Cinepolis Cinemas, Harkins Theatres, B&B Theatres, Marcus Theatres"
Hamnet(2025),(2025),7.9 (93k),2h 5min,"Drama, Romance, History","Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe, Noah Jupe, Justine Mitchell, David Wilmot, Louisa Harland, Freya Hannan-Mills, Dainton Anderson, Elliot Baxter, Smylie Bradwell, John Mackay, Sam Woolf, Jack Shalloo, Shaun Mason, Matthew Tennyson, Clay Milner-Russell, Javier Marzan",Chloé Zhao,"Amazon Video, Apple TV Store, Peacock Premium, Peacock Premium Plus, Amazon Prime Video, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Amazon Video, Apple TV Store, Fandango At Home, Peacock Premium, Barnes & Noble, Fandango, Amazon DVD / Blu-ray, Barnes & Noble, GRUV, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble"
No Other Choice(2025),(2025),7.6 (52k),2h 19min,"Comedy, Mystery & Thriller, Drama, Crime","Lee Byung-hun, Son Ye-jin, Park Hee-soon, Lee Sung-min, Yeom Hye-ran, Cha Seung-won, Oh Dal-su, Choi So-yul, Kim Hae-sook, Yoo Yeon-seok, Bae Ki-bum, Derek Chouinard, Kim Jung-pal, Nam Jin-bok, Kim Sung-kang, Dong Zhang, Lee Suk-hyeong, Kim Hyeong-mook, Woo Jeong-won, Yoon Ga-i",Park Chan-wook,"Amazon Video, Hulu, Disney Plus, Hulu, Hulu, Amazon Video, Apple TV Store, Fandango At Home, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Fandango"
